source,persons,time,nb_articles,avg_tone
ouest-france.fr,damien abad,2021/1,14,-0.7225048233745677
sudouest.fr,lold bailey,2021/1,13,-5.79439252336449
ouest-france.fr,ted cruz,2021/1,13,-1.6615471499345662
sudouest.fr,barbara pompili,2021/2,13,-2.0020555637919473
sudouest.fr,kristinn hrafnsson,2021/1,13,-5.79439252336449
sudouest.fr,wikileaks julian assange,2021/1,13,-5.79439252336449
sudouest.fr,ron soffer,2021/3,13,-4.04984423676012
sudouest.fr,christine schraner,2021/2,13,-5.25624178712221
sudouest.fr,mohammad javad zarif,2021/2,13,-4.433261442607233
sudouest.fr,franck riester,2021/2,13,0.6451612903225808
ouest-france.fr,renaud muselier,2021/1,13,-1.6032385514662737
ouest-france.fr,tayyip erdogan erdogan,2021/2,13,-4.80349344978166
sudouest.fr,carlos ghosn,2021/3,13,-4.505553301700971
ouest-france.fr,sandrine rousseau,2021/2,13,-7.9411709297904265
sudouest.fr,camille pissarro,2021/3,13,-4.04984423676012
ouest-france.fr,jen psaki,2021/3,13,-1.3988232190069856
sudouest.fr,boris johnson,2021/3,12,-4.287433360333318
ouest-france.fr,ali boumendjel,2021/3,12,-2.158840214308224
sudouest.fr,tayyip erdogan,2021/1,12,-4.231189652031337
ouest-france.fr,karim tabbou,2021/3,12,-7.3394495412844
ouest-france.fr,bachar al-assad,2021/3,12,-3.7801054210592113
sudouest.fr,katsunobu kato,2021/3,12,-2.46575342465753
ouest-france.fr,saddam hussein,2021/3,12,-2.73381294964029
ouest-france.fr,calais nathalie bouchart,2021/3,12,-1.1322995285404984
ouest-france.fr,scott morrison,2021/3,12,-8.9041095890411
ouest-france.fr,alok sharma,2021/1,12,0.0
ouest-france.fr,brittany higgins,2021/3,12,-8.9041095890411
sudouest.fr,assadollah assadi,2021/2,12,-5.833333333333331
ouest-france.fr,sami dernouni,2021/3,12,-7.3394495412844
sudouest.fr,aung suu kyi,2021/3,12,-7.58620689655172
sudouest.fr,amir saadouni,2021/2,12,-5.833333333333331
sudouest.fr,pascal soriot,2021/3,12,-1.1844331641286
ouest-france.fr,linda reynolds,2021/3,12,-8.9041095890411
sudouest.fr,thierry herzog,2021/3,12,-4.958692882457339
sudouest.fr,henri-georges beauthier,2021/2,12,-5.833333333333331
ouest-france.fr,tayyip erdogan,2021/1,12,-4.1591857166694455
sudouest.fr,gabriel attal,2021/1,12,-2.467156647479697
ouest-france.fr,antonio guterres,2021/1,12,0.0
sudouest.fr,mazarine pingeot,2021/1,12,0.6614386645346403
sudouest.fr,ingrid betancourt,2021/2,12,-5.833333333333331
sudouest.fr,lavra alder,2021/1,11,0.611153552330023
ouest-france.fr,irene khan,2021/3,11,-6.12745098039216
ouest-france.fr,jw marriott,2021/1,11,-7.08263069139966
ouest-france.fr,thiolina ferawati,2021/1,11,-7.08263069139966
ouest-france.fr,diek parlevliet,2021/3,11,0.216450216450216
sudouest.fr,derek mitchell,2021/2,11,-5.16795865633075
ouest-france.fr,david schoen bruce beaver,2021/2,11,-8.28220858895705
ouest-france.fr,daniel bromley,2021/3,11,0.216450216450216
ouest-france.fr,igor krasnov,2021/3,11,-6.12745098039216
ouest-france.fr,jemaah islamiyah,2021/1,11,-7.08263069139966
sudouest.fr,stefano maggi,2021/3,11,1.28913443830571
sudouest.fr,franois holland,2021/1,11,0.611153552330023
ouest-france.fr,franklin delano roosevelt,2021/2,11,-2.0559460926433384
ouest-france.fr,kim jong,2021/3,11,0.289855072463768
ouest-france.fr,jill biden,2021/3,11,-1.3840830449827
ouest-france.fr,chris williams,2021/3,11,0.216450216450216
sudouest.fr,donald trump,2021/3,11,-4.831027596784825
ouest-france.fr,afp hnin,2021/2,11,-4.71063257065949
ouest-france.fr,nigel adams,2021/2,11,-9.21787709497207
ouest-france.fr,lady jill biden,2021/3,11,-1.3840830449827
ouest-france.fr,sergeant yvonne huynh,2021/1,11,-3.641047368885389
sudouest.fr,michel gourinchas,2021/1,11,0.611153552330023
sudouest.fr,edouard philippe,2021/1,11,0.611153552330023
ouestaf.com,usman sonko,2021/3,11,-5.525657609192493
ouest-france.fr,hanus hansen,2021/3,11,0.216450216450216
ouest-france.fr,abu bakar bashir,2021/1,11,-7.08263069139966
sudouest.fr,maung zaw,2021/2,11,-5.16795865633075
ouest-france.fr,mark rutte,2021/3,11,0.216450216450216
sudouest.fr,michel charasse,2021/1,11,0.611153552330023
ouest-france.fr,alexander grushko,2021/3,11,-6.12745098039216
sudouest.fr,rohingya aung hlaing,2021/2,11,-5.16795865633075
ouest-france.fr,brest bertrand,2021/3,11,-2.9227557411273506
ouest-france.fr,anne hidalgo,2021/3,11,-2.5089340190011318
ouest-france.fr,cornelis vrolijk,2021/3,11,0.216450216450216
ouest-france.fr,asa hutchinson,2021/3,10,-5.824684745006136
ouest-france.fr,saint-nazaire violaine lucas,2021/3,10,-0.729040097205346
ouest-france.fr,anthony williams,2021/1,10,-6.41330166270784
sudouest.fr,icela rodriguez,2021/3,10,-4.72589792060491
ouest-france.fr,violaine lucas,2021/3,10,-0.729040097205346
ouest-france.fr,lluis puig,2021/1,10,-4.48877805486284
ouest-france.fr,roj roj,2021/3,10,-2.15311004784689
sudouest.fr,fabian leendertz,2021/1,10,-4.40140845070423
ouest-france.fr,thierry herzog,2021/3,10,-4.386549764677138
ouest-france.fr,henri atlan,2021/3,10,-0.729040097205346
ouest-france.fr,benyamin netanyahu,2021/3,10,-8.3969465648855
ouest-france.fr,sarah el,2021/2,10,-0.03714928145468761
sudouest.fr,ugur sahin,2021/1,10,0.051516003741272395
ouest-france.fr,jim brewster,2021/1,10,-6.41330166270784
ouest-france.fr,stefano maggi,2021/3,10,1.16504854368932
sudouest.fr,andrew cuomo,2021/3,10,-5.9915611814346
ouest-france.fr,luc mlenchon,2021/3,10,-2.087252592243083
ouest-france.fr,nicolas dupont-aignan,2021/3,10,-2.0351350011771525
ouest-france.fr,tariq arian,2021/1,10,-5.53359683794466
sudouest.fr,nancy pelosi,2021/1,10,-4.590275087175515
ouest-france.fr,carles puigdemont,2021/1,10,-4.48877805486284
ouest-france.fr,kim kardashian,2021/1,10,-0.48426150121065403
ouest-france.fr,john fetterman,2021/1,10,-6.41330166270784
ouest-france.fr,jake corman,2021/1,10,-6.41330166270784
sudouest.fr,lopez obrador,2021/3,10,-4.72589792060491
ouest-france.fr,rodong sinmun,2021/1,10,-0.48426150121065403
sudouest.fr,marlon ramirez,2021/3,10,-4.72589792060491
