ID,num_mentions
962288526,6
962292755,6
962292762,6
962292764,6
962292766,6
962294837,6
962297262,6
962298272,6
962301930,6
962301932,6
962302717,6
962303853,6
962304560,6
962304570,6
962304576,6
962305256,6
962305327,6
962305514,6
962305515,6
962306357,6
962310138,6
962310677,6
962310678,6
962310681,6
962310717,6
962311899,6
962312082,6
962312225,6
962312365,6
962314969,6
962315240,6
962315383,6
962315729,6
962315937,6
962318137,6
962318275,6
962318350,6
962223501,6
962224237,6
962230190,6
962230355,6
962230366,6
962231746,6
962231834,6
962234117,6
962234244,6
962237832,6
962238968,6
962246353,6
962246355,6
962246376,6
962246411,6
962246413,6
962246415,6
962247499,6
962250005,6
962250846,6
962250896,6
962250920,6
962250978,6
962254461,6
962258585,6
962261644,6
962262413,6
962263619,6
962263620,6
962263678,6
962263749,6
962263807,6
962263818,6
962263927,6
962264702,6
962264883,6
962266054,6
962267271,6
962269980,6
962270465,6
962271809,6
962271863,6
962271887,6
962273012,6
962273013,6
962274149,6
962274150,6
962274874,6
962275051,6
962275281,6
962277096,6
962277116,6
962277191,6
962277334,6
962278178,6
962278256,6
962279161,6
962279162,6
962279200,6
962279280,6
962281598,6
962282345,6
962282520,6
962282708,6
962283381,6
962283552,6
962283559,6
962283560,6
962284603,6
962284618,6
962285458,6
962287913,6
962289138,6
962289200,6
962289301,6
962289304,6
962289527,6
962289529,6
962289530,6
962290410,6
962290423,6
962290424,6
962290432,6
962290473,6
962291584,6
962293179,6
962294518,6
962295523,6
962298722,6
962298828,6
962298949,6
962298959,6
962299001,6
962300909,6
962301039,6
962301343,6
962301428,6
962301440,6
962301566,6
962303287,6
962304165,6
962304944,6
962305051,6
962305142,6
962305146,6
962305923,6
962306020,6
962308167,6
962308961,6
962309458,6
962310291,6
962310297,6
962310298,6
962310299,6
962310320,6
962310328,6
962310384,6
962312567,6
962313624,6
962317119,6
962317231,6
962317422,6
962320002,6
962322948,6
962220356,5
962222631,5
962236353,5
962241376,5
962242270,5
962242352,5
962243559,5
962244012,5
962244013,5
962249453,5
962249516,5
962249517,5
962249726,5
962256913,5
962256914,5
962256926,5
962259062,5
962259064,5
962259670,5
962259796,5
962268148,5
962270691,5
962271670,5
962272366,5
962272497,5
962273335,5
962275960,5
962276571,5
962276572,5
962276628,5
962276629,5
962277439,5
962277576,5
962278525,5
962278653,5
962278659,5
962278935,5
962282167,5
962282963,5
962285044,5
962285045,5
962288525,5
962289791,5
962292482,5
962292493,5
962292738,5
962293798,5
962294314,5
962297227,5
962297228,5
962297230,5
962302582,5
962302721,5
962303585,5
962306442,5
962309759,5
962310054,5
962310609,5
962313140,5
962318308,5
962318354,5
962318431,5
962318611,5
962292223,5
962292230,5
962305028,5
963264633,5
963338829,5
962220032,4
962220321,4
962220323,4
962220338,4
962220357,4
962220359,4
962220360,4
962221163,4
962221595,4
962221925,4
962222043,4
962222381,4
962222571,4
962224921,4
962225317,4
962226117,4
962226536,4
962226541,4
962227330,4
962227331,4
962227332,4
962228217,4
962228221,4
962228223,4
962229230,4
962232269,4
962233808,4
962235307,4
962245862,4
962246800,4
962249474,4
962249475,4
962249775,4
962249894,4
962253494,4
962256000,4
962256001,4
962256003,4
962256857,4
962256910,4
962257008,4
962257655,4
962257681,4
962261930,4
962261931,4
962262936,4
962264182,4
962264194,4
962264199,4
962264341,4
962266324,4
962267799,4
962267807,4
962267986,4
962268308,4
962268703,4
962269074,4
962269218,4
962271362,4
962272124,4
962272690,4
962274375,4
962274444,4
962274459,4
962279657,4
962280028,4
962283853,4
962284184,4
962284336,4
962286202,4
962286203,4
962286212,4
962286228,4
962286394,4
962288520,4
962290911,4
962290913,4
962291167,4
962291842,4
962292590,4
962294242,4
962295319,4
962301826,4
962301917,4
962301924,4
962301925,4
962302597,4
962302711,4
962302725,4
